id,question,retriever,required_sources,expected_sources,retrieved_sources,retrieved_units,unit_count,context_chars,evidence_recall,retrieval_trace,retrieval_latency_seconds,source_hit_at_k,source_recall_at_k,source_recall_at_3_articles,source_precision_at_k,chunk_precision_at_k,article_precision,unique_articles_retrieved,source_recall_strict,all_required_present
G01,Name another cinematographer who has won the same award as Andrew Lesnie.,baseline,"[""Emmanuel_Lubezki.html""]","[""Emmanuel_Lubezki.html"", ""Andrew_Lesnie.html"", ""List_of_Academy_Award_records.html""]","[""Andrew_Lesnie.html"", ""King_Kong_(2005_film).html"", ""Emmanuel_Lubezki.html""]","[{""unit_id"": ""Andrew_Lesnie.html"", ""source_file"": ""Andrew_Lesnie.html"", ""role"": ""primary"", ""score"": 1.0}, {""unit_id"": ""King_Kong_(2005_film).html"", ""source_file"": ""King_Kong_(2005_film).html"", ""role"": ""primary"", ""score"": 0.2365}, {""unit_id"": ""Emmanuel_Lubezki.html"", ""source_file"": ""Emmanuel_Lubezki.html"", ""role"": ""primary"", ""score"": 0.188}]",3,62522,0.6666666666666666,{},0.7482911999686621,1,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,1.0,True
G02,Who succeeded Barack Obama as president?,baseline,"[""Barack_Obama.html""]","[""Barack_Obama.html"", ""Donald_Trump.html""]","[""Barack_Obama.html"", ""African-American_presidents_of_the_United_States_in_popular_culture.html"", ""President_of_the_United_States.html""]","[{""unit_id"": ""Barack_Obama.html"", ""source_file"": ""Barack_Obama.html"", ""role"": ""primary"", ""score"": 1.0}, {""unit_id"": ""African-American_presidents_of_the_United_States_in_popular_culture.html"", ""source_file"": ""African-American_presidents_of_the_United_States_in_popular_culture.html"", ""role"": ""primary"", ""score"": 0.5617}, {""unit_id"": ""President_of_the_United_States.html"", ""source_file"": ""President_of_the_United_States.html"", ""role"": ""primary"", ""score"": 0.3133}]",3,339135,0.5,{},0.48430050001479685,1,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1.0,True
G03,Who succeeded Elizabeth II as monarch?,baseline,"[""Elizabeth_II.html""]","[""Elizabeth_II.html"", ""Charles_III.html""]","[""Monarchy_of_the_United_Kingdom.html"", ""Elizabeth_II.html"", ""List_of_British_monarchs.html""]","[{""unit_id"": ""Monarchy_of_the_United_Kingdom.html"", ""source_file"": ""Monarchy_of_the_United_Kingdom.html"", ""role"": ""primary"", ""score"": 1.0}, {""unit_id"": ""Elizabeth_II.html"", ""source_file"": ""Elizabeth_II.html"", ""role"": ""primary"", ""score"": 0.6687}, {""unit_id"": ""List_of_British_monarchs.html"", ""source_file"": ""List_of_British_monarchs.html"", ""role"": ""primary"", ""score"": 0.3861}]",3,204406,0.5,{},0.281189400004223,1,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1.0,True
G04,Name another U.S. president besides Bill Clinton who was impeached.,baseline,"[""Bill_Clinton.html""]","[""Bill_Clinton.html"", ""Donald_Trump.html""]","[""President_of_the_United_States.html"", ""Bill_Clinton.html"", ""Donald_Trump.html""]","[{""unit_id"": ""President_of_the_United_States.html"", ""source_file"": ""President_of_the_United_States.html"", ""role"": ""primary"", ""score"": 0.9711}, {""unit_id"": ""Bill_Clinton.html"", ""source_file"": ""Bill_Clinton.html"", ""role"": ""primary"", ""score"": 0.9247}, {""unit_id"": ""Donald_Trump.html"", ""source_file"": ""Donald_Trump.html"", ""role"": ""primary"", ""score"": 0.5004}]",3,483348,1.0,{},0.3648444000282325,1,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,1.0,True
G05,Name another Best Picture-winning director besides Sam Mendes.,baseline,"[""Christopher_Nolan.html""]","[""Christopher_Nolan.html"", ""Steven_Spielberg.html"", ""James_Cameron.html"", ""Clint_Eastwood.html"", ""Anthony_Minghella.html"", ""Jonathan_Demme.html"", ""Kevin_Costner.html"", ""Robert_Zemeckis.html"", ""William_Wyler.html"", ""Sam_Mendes.html"", ""List_of_Academy_Award_records.html""]","[""Sam_Mendes.html"", ""List_of_Academy_Award_records.html"", ""Golden_Globe_Award_for_Best_Screenplay.html""]","[{""unit_id"": ""Sam_Mendes.html"", ""source_file"": ""Sam_Mendes.html"", ""role"": ""primary"", ""score"": 1.0}, {""unit_id"": ""List_of_Academy_Award_records.html"", ""source_file"": ""List_of_Academy_Award_records.html"", ""role"": ""primary"", ""score"": 0.2763}, {""unit_id"": ""Golden_Globe_Award_for_Best_Screenplay.html"", ""source_file"": ""Golden_Globe_Award_for_Best_Screenplay.html"", ""role"": ""primary"", ""score"": 0.2519}]",3,125822,0.5,{},0.3125727000297047,0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.0,False
G06,Name another president besides Barack Obama who attended Harvard.,baseline,"[""George_W._Bush.html""]","[""George_W._Bush.html"", ""Harvard_University.html"", ""Barack_Obama.html"", ""List_of_presidents_of_the_United_States_by_education.html""]","[""Barack_Obama.html"", ""Harvard_University.html"", ""List_of_presidents_of_the_United_States_by_education.html""]","[{""unit_id"": ""Barack_Obama.html"", ""source_file"": ""Barack_Obama.html"", ""role"": ""primary"", ""score"": 0.8982}, {""unit_id"": ""Harvard_University.html"", ""source_file"": ""Harvard_University.html"", ""role"": ""primary"", ""score"": 0.5808}, {""unit_id"": ""List_of_presidents_of_the_United_States_by_education.html"", ""source_file"": ""List_of_presidents_of_the_United_States_by_education.html"", ""role"": ""primary"", ""score"": 0.5}]",3,306454,0.8,{},0.35654609999619424,0,0.0,0.0,1.0,1.0,1.0,3,0.0,False
G07,Name another president besides Bill Clinton who attended Yale.,baseline,"[""George_W._Bush.html""]","[""George_W._Bush.html"", ""Yale_University.html"", ""Bill_Clinton.html"", ""Gerald_Ford.html"", ""List_of_presidents_of_the_United_States_by_education.html""]","[""Yale_University.html"", ""List_of_presidents_of_the_United_States_by_education.html"", ""Bill_Clinton.html""]","[{""unit_id"": ""Yale_University.html"", ""source_file"": ""Yale_University.html"", ""role"": ""primary"", ""score"": 1.0}, {""unit_id"": ""List_of_presidents_of_the_United_States_by_education.html"", ""source_file"": ""List_of_presidents_of_the_United_States_by_education.html"", ""role"": ""primary"", ""score"": 0.4871}, {""unit_id"": ""Bill_Clinton.html"", ""source_file"": ""Bill_Clinton.html"", ""role"": ""primary"", ""score"": 0.4358}]",3,330842,0.6666666666666666,{},0.25278689997503534,0,0.0,0.0,1.0,1.0,1.0,3,0.0,False
G08,Which president served in both the 20th and 21st centuries?,baseline,"[""Bill_Clinton.html""]","[""Bill_Clinton.html"", ""George_W._Bush.html"", ""Barack_Obama.html"", ""Ronald_Reagan.html"", ""Gerald_Ford.html"", ""Donald_Trump.html""]","[""France.html"", ""President_of_the_United_States.html"", ""Gothic_Revival_architecture.html""]","[{""unit_id"": ""France.html"", ""source_file"": ""France.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""President_of_the_United_States.html"", ""source_file"": ""President_of_the_United_States.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""Gothic_Revival_architecture.html"", ""source_file"": ""Gothic_Revival_architecture.html"", ""role"": ""primary"", ""score"": 0.4676}]",3,357043,0.0,{},0.37779639998916537,0,0.0,0.0,0.0,0.0,0.0,3,0.0,False
G09,Give me five examples of current heads of state born before 1960.,baseline,"[""Charles_III.html"", ""Donald_Trump.html""]","[""Charles_III.html"", ""Donald_Trump.html""]","[""Sargent_Shriver.html"", ""President_of_the_United_States.html"", ""History_of_Formula_One.html""]","[{""unit_id"": ""Sargent_Shriver.html"", ""source_file"": ""Sargent_Shriver.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""President_of_the_United_States.html"", ""source_file"": ""President_of_the_United_States.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""History_of_Formula_One.html"", ""source_file"": ""History_of_Formula_One.html"", ""role"": ""primary"", ""score"": 0.3933}]",3,245259,,{},0.32685539999511093,0,0.0,0.0,0.0,0.0,0.0,3,0.0,False
G10,Name two films by English directors that won Academy Awards.,baseline,"[""Sam_Mendes.html"", ""Christopher_Nolan.html""]","[""Sam_Mendes.html"", ""Christopher_Nolan.html"", ""List_of_Academy_Award_records.html""]","[""List_of_Academy_Award_records.html"", ""Clint_Eastwood.html"", ""BAFTA_Award_for_Best_Actor_in_a_Supporting_Role.html""]","[{""unit_id"": ""List_of_Academy_Award_records.html"", ""source_file"": ""List_of_Academy_Award_records.html"", ""role"": ""primary"", ""score"": 0.8821}, {""unit_id"": ""Clint_Eastwood.html"", ""source_file"": ""Clint_Eastwood.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""BAFTA_Award_for_Best_Actor_in_a_Supporting_Role.html"", ""source_file"": ""BAFTA_Award_for_Best_Actor_in_a_Supporting_Role.html"", ""role"": ""primary"", ""score"": 0.3763}]",3,222316,0.16666666666666666,{},0.351535799971316,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.0,False
