id,question,information_need,motivation,prior_familiarity,scope,answerable,adversarial_kind,required_sources,expected_sources,retrieved_sources,required_aspects,response,closed_book_response,correctness,graded_correctness,graded_correctness_score,covered_aspects,aspect_coverage,answer_relevance,claims,claim_count,graded_groundedness_score,faithfulness,citation_support_rate,chunk_attribution_score,source_hit_at_k,source_recall_at_k,source_precision_at_k,source_recall_strict,all_required_present,response_quote_count,quote_fidelity_rate,quote_attribution_accuracy,citation_count,citation_precision,unsupported_citation_rate,refusal_outcome,answer_latency_seconds,judge_latency_seconds,total_latency_seconds,input_tokens,output_tokens,total_tokens,estimated_cost_usd
Q001,"What was the title of Orhan Pamuk's Nobel lecture, in what language was it delivered, and what personal relationship did he use to discuss Eastern and Western civilizations?",fact_lookup,intrinsic_learning,unfamiliar,single_document,True,,"[""2006_Nobel_Prize_in_Literature.html""]","[""2006_Nobel_Prize_in_Literature.html""]","[""2006_Nobel_Prize_in_Literature.html"", ""Nobel_Prize.html"", ""Milton_Friedman.html""]","[""Pamuk's Nobel lecture was entitled \""Babamin Bavulu\"" (\""My Father's Suitcase\"") and was delivered in Turkish."", ""In it, he used his relationship with his father to discuss relations between Eastern and Western civilizations.""]","Orhan Pamuk’s Nobel lecture was entitled **""Babamın Bavulu"" (""My Father's Suitcase"")**, and it was **given in Turkish** [2006_Nobel_Prize_in_Literature.html]. He discussed relations between Eastern and Western civilizations **using the theme of his relationship with his father** [2006_Nobel_Prize_in_Literature.html].","Orhan Pamuk’s Nobel lecture was titled **“My Father’s Suitcase.”** It was delivered in **English**, and he used his **relationship with his father**—especially memories and reflections connected to him—to talk about the encounter between **Eastern and Western civilizations**.",pass,complete,1.0,"[1, 2]",1.0,pass,"[{""text"": ""Orhan Pamuk’s Nobel lecture was entitled “Babamın Bavulu” (“My Father's Suitcase”)."", ""cited_source"": ""2006_Nobel_Prize_in_Literature.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""Orhan Pamuk’s Nobel lecture was given in Turkish."", ""cited_source"": ""2006_Nobel_Prize_in_Literature.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""He discussed relations between Eastern and Western civilizations in the lecture."", ""cited_source"": ""2006_Nobel_Prize_in_Literature.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""He used the theme of his relationship with his father to discuss those relations."", ""cited_source"": ""2006_Nobel_Prize_in_Literature.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",4,1.0,pass,1.0,0.25,1,1.0,0.3333333333333333,1.0,True,2,1.0,0.0,1,1.0,0.0,n/a,1.761025600018911,5.506258000008529,8.195959400007268,191384,414,191798,0.145401
Q002,A major Japanese disaster in 2011 slightly accelerated the planet's rotation. By how much did it shorten each day?,fact_lookup,intrinsic_learning,familiar,single_document,True,,"[""2011_Tōhoku_earthquake_and_tsunami.html""]","[""2011_Tōhoku_earthquake_and_tsunami.html""]","[""2011_Tōhoku_earthquake_and_tsunami.html"", ""Pluto.html"", ""Moon.html""]","[""The earthquake shortened each day by 1.8 microseconds.""]",The 2011 Tōhoku earthquake and tsunami shortened Earth’s day by **1.8 microseconds** [2011_Tōhoku_earthquake_and_tsunami.html].,The 2011 Tōhoku earthquake in Japan is estimated to have shortened each day by about **1.8 microseconds**.,pass,complete,1.0,[1],1.0,pass,"[{""text"": ""The 2011 Tōhoku earthquake and tsunami shortened Earth’s day by 1.8 microseconds."", ""cited_source"": ""2011_Tōhoku_earthquake_and_tsunami.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}]",1,1.0,pass,1.0,0.0,1,1.0,0.3333333333333333,1.0,True,0,,,1,1.0,0.0,n/a,1.934513500018511,6.102970400010236,8.967759100021794,495040,196,495236,0.372162
Q003,"Compare the Academy Awards ceremonies held a decade apart: who hosted the 85th and 95th ceremonies, and which film won Best Picture at each?",fact_lookup,work_or_school,unfamiliar,multi_document,True,,"[""85th_Academy_Awards.html"", ""95th_Academy_Awards.html""]","[""85th_Academy_Awards.html"", ""95th_Academy_Awards.html""]","[""Academy_Award_for_Best_Director.html"", ""Academy_Award_for_Best_Picture.html"", ""Academy_Award_for_Best_Actor.html""]","[""Seth MacFarlane hosted the 85th Academy Awards, where Argo won Best Picture."", ""Jimmy Kimmel hosted the 95th Academy Awards, where Everything Everywhere All at Once won Best Picture.""]","The provided documents do not say who hosted the 85th or 95th Academy Awards ceremonies, so I can’t answer that part from the sources alone.

For Best Picture:
- 85th Academy Awards: no Best Picture winner is listed in the provided documents [Academy_Award_for_Best_Picture.html]
- 95th Academy Awards: no Best Picture winner is listed in the provided documents [Academy_Award_for_Best_Picture.html]","The **85th Academy Awards** were hosted by **Seth MacFarlane**, and **Argo** won **Best Picture**.

The **95th Academy Awards** were hosted by **Jimmy Kimmel**, and **Everything Everywhere All at Once** won **Best Picture**.",fail,incorrect,0.0,[],0.0,pass,"[{""text"": ""The provided documents do not say who hosted the 85th or 95th Academy Awards ceremonies."", ""cited_source"": null, ""grounded"": false, ""citation_supported"": null, ""attributable_to_retrieval"": null}, {""text"": ""I can’t answer that part from the sources alone."", ""cited_source"": null, ""grounded"": false, ""citation_supported"": null, ""attributable_to_retrieval"": null}, {""text"": ""For the 85th Academy Awards, no Best Picture winner is listed in the provided documents."", ""cited_source"": ""Academy_Award_for_Best_Picture.html"", ""grounded"": false, ""citation_supported"": false, ""attributable_to_retrieval"": null}, {""text"": ""For the 95th Academy Awards, no Best Picture winner is listed in the provided documents."", ""cited_source"": ""Academy_Award_for_Best_Picture.html"", ""grounded"": false, ""citation_supported"": false, ""attributable_to_retrieval"": null}]",4,0.0,fail,0.0,,0,0.0,0.0,0.0,False,0,,,1,0.0,0.0,n/a,1.4581300999852829,4.939249400049448,7.209932400059188,119670,421,120091,0.091647
Q004,"The yacht that Mohammed bin Salman bought from its original owner for approximately 500 million euros provides the first clue. Who was that original owner, what company does he own, which vodka brand is it best known for, and what did the Dutch Supreme Court rule about that brand's rights in 2020?",in_depth,bored_random,familiar,multi_document,True,,"[""Serene_(yacht).html"", ""Yuri_Shefler.html""]","[""Serene_(yacht).html"", ""Yuri_Shefler.html""]","[""Yuri_Shefler.html"", ""Serene_(yacht).html"", ""Abu_Dhabi_United_Group.html""]","[""The yacht's original owner was Russian businessman Yuri Shefler."", ""Shefler owns SPI Group, best known for the Stolichnaya vodka brand."", ""In 2020, the Dutch Supreme Court ruled that the Stolichnaya trademark rights belonged to Russia and ordered SPI Group to stop selling its products in Benelux.""]","The original owner was Yuri Shefler, who owns SPI Group. SPI Group is best known for Stolichnaya vodka [Yuri_Shefler.html]. The Dutch Supreme Court ruled in 2020 that the rights to Stolichnaya and Moskovskaya belonged to Russia and ordered SPI Group to stop selling its products in Benelux [Yuri_Shefler.html].","The yacht was **Serene**, which Mohammed bin Salman bought from **Yuri Shefler**.

- **Original owner:** Yuri Shefler  
- **Company he owns:** the **Stoli Group** (also known through his SPI Group interests)  
- **Best-known vodka brand:** **Stolichnaya** (“Stoli”)  
- **Dutch Supreme Court ruling in 2020:** it ruled that the **Stolichnaya trademark rights in the Netherlands belonged to the Russian state / Rosspirtprom**, not Shefler’s company.",pass,complete,1.0,"[1, 2, 3]",1.0,pass,"[{""text"": ""The original owner was Yuri Shefler."", ""cited_source"": ""Yuri_Shefler.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""Yuri Shefler owns SPI Group."", ""cited_source"": ""Yuri_Shefler.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""SPI Group is best known for Stolichnaya vodka."", ""cited_source"": ""Yuri_Shefler.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""The Dutch Supreme Court ruled in 2020 that the rights to Stolichnaya and Moskovskaya belonged to Russia."", ""cited_source"": ""Yuri_Shefler.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The Dutch Supreme Court ordered SPI Group to stop selling its products in Benelux."", ""cited_source"": ""Yuri_Shefler.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",5,1.0,pass,1.0,0.6,1,1.0,0.6666666666666666,1.0,True,0,,,1,1.0,0.0,n/a,1.3232692000165116,3.2567399000399746,5.816917500080308,23560,502,24062,0.019929
Q005,"For each of the 1996, 2004, and 2008 Summer Olympics, list every city mentioned as having submitted a bid but not winning that edition's hosting contest.",fact_lookup,work_or_school,unfamiliar,multi_document,True,,"[""1996_Summer_Olympics.html"", ""2004_Summer_Olympics.html"", ""2008_Summer_Olympics.html""]","[""1996_Summer_Olympics.html"", ""2004_Summer_Olympics.html"", ""2008_Summer_Olympics.html""]","[""1984_Summer_Olympics.html"", ""Summer_Olympic_Games.html"", ""List_of_Olympic_Games_host_cities.html""]","[""For the 1996 Summer Olympics, the losing bid cities were Athens, Belgrade, Manchester, Melbourne, and Toronto."", ""For the 2004 Summer Olympics, the losing bid cities were Rome, Cape Town, Stockholm, and Buenos Aires, plus Istanbul, Lille, Rio de Janeiro, San Juan, Seville, and Saint Petersburg, whose applications were dropped before the shortlist."", ""For the 2008 Summer Olympics, the losing bid cities were Toronto, Paris, Istanbul, and Osaka, plus Bangkok, Cairo, Havana, Kuala Lumpur, and Seville, whose bids failed to make the shortlist.""]","The documents do not contain the bidding results for the 1996, 2004, or 2008 Summer Olympics, so I can’t identify which cities submitted bids but lost for those editions from the provided sources alone.","Here are the non-winning bid cities for each of those Summer Olympics:

## 1996 Summer Olympics
Cities that submitted bids but did not win:
- **Athens**
- **Belgrade**
- **Manchester**
- **Melbourne**
- **Toronto**

## 2004 Summer Olympics
Cities that submitted bids but did not win:
- **Buenos Aires**
- **Cape Town**
- **Rome**
- **Stockholm**

## 2008 Summer Olympics
Cities that submitted bids but did not win:
- **Osaka**
- **Paris**
- **Toronto**
- **Beijing** was the winner, so it is not included here
- **Istanbul**
- **Toronto** is not a 2008 bidder, so ignore that

Actually, to be precise, the cities that bid for the **2008** Summer Olympics and lost were:
- **Istanbul**
- **Osaka**
- **Paris**
- **Toronto**
- **Beijing** was the winner

So the final lists are:

- **1996:** Athens, Belgrade, Manchester, Melbourne, Toronto  
- **2004:** Buenos Aires, Cape Town, Rome, Stockholm  
- **2008:** Istanbul, Osaka, Paris, Toronto",fail,incorrect,0.0,[],0.0,pass,"[{""text"": ""The documents do not contain the bidding results for the 1996, 2004, or 2008 Summer Olympics."", ""cited_source"": null, ""grounded"": false, ""citation_supported"": null, ""attributable_to_retrieval"": null}, {""text"": ""The speaker cannot identify which cities submitted bids but lost for those editions from the provided sources alone."", ""cited_source"": null, ""grounded"": false, ""citation_supported"": null, ""attributable_to_retrieval"": null}]",2,0.0,fail,,,0,0.0,0.0,0.0,False,0,,,0,,,n/a,1.2028031999943778,5.153009500034386,8.135189900029218,146937,467,147404,0.11230425
Q006,"Which London physician traced a deadly waterborne gastrointestinal epidemic to a single contaminated public water pump, and how did he visually prove the connection?",overview,intrinsic_learning,familiar,single_document,True,,"[""1854_Broad_Street_cholera_outbreak.html""]","[""1854_Broad_Street_cholera_outbreak.html""]","[""1854_Broad_Street_cholera_outbreak.html"", ""John_Snow.html"", ""Typhoid_fever.html""]","[""John Snow, a London physician, traced the 1854 Broad Street cholera outbreak to a contaminated public water pump on Broad Street."", ""He visually proved the connection using a dot map illustrating how cholera cases occurred around the pump.""]","The London physician was John Snow, who identified the Broad Street public water pump as the source of the outbreak [John_Snow.html]. He visually demonstrated the connection by using a dot map to show how cholera cases clustered around the pump [1854_Broad_Street_cholera_outbreak.html].","That was **Dr. John Snow**.

He linked a cholera outbreak in London to the **Broad Street public water pump**. To visually prove the connection, he **mapped the cholera cases on a street map**, showing that the deaths clustered around that pump, which strongly supported the idea that contaminated water—not “bad air”—was spreading the disease.",pass,complete,1.0,"[1, 2]",1.0,pass,"[{""text"": ""The London physician was John Snow"", ""cited_source"": ""John_Snow.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""John Snow identified the Broad Street public water pump as the source of the outbreak"", ""cited_source"": ""John_Snow.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""He visually demonstrated the connection by using a dot map"", ""cited_source"": ""1854_Broad_Street_cholera_outbreak.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""The dot map showed how cholera cases clustered around the pump"", ""cited_source"": ""1854_Broad_Street_cholera_outbreak.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}]",4,1.0,pass,1.0,0.0,1,1.0,0.3333333333333333,1.0,True,0,,,2,0.5,0.0,n/a,1.2848641999880783,3.9365474000223912,6.525687499990454,127642,378,128020,0.0974325
Q007,"Comparing a 1950s motor-racing catastrophe in France to a 1960s Alaskan natural disaster, which killed more people, and what safety regulations followed each?",in_depth,work_or_school,familiar,multi_document,True,,"[""1955_Le_Mans_disaster.html"", ""1964_Alaska_earthquake.html""]","[""1955_Le_Mans_disaster.html"", ""1964_Alaska_earthquake.html""]","[""1955_Le_Mans_disaster.html"", ""History_of_Formula_One.html"", ""1964_Alaska_earthquake.html""]","[""The 1964 Alaska earthquake and its tsunamis killed 139 people, more than the 1955 Le Mans disaster's estimated 82 to 84 deaths."", ""The Le Mans disaster led to temporary bans on motorsports in France, Spain, Switzerland, West Germany, and other nations until racetracks met higher safety standards."", ""The Alaska earthquake led to the formation of the West Coast and Alaska Tsunami Warning Center as a direct response to the disaster.""]","The 1964 Alaska earthquake killed more people: 139 deaths, compared with at least 82 deaths in the 1955 Le Mans disaster.[1964_Alaska_earthquake.html][1955_Le_Mans_disaster.html]

Safety changes followed both disasters. After Le Mans, the Circuit de la Sarthe was extensively improved: the pit straight was redesigned and widened to remove the kink and add a deceleration lane, the pits were rebuilt, and the grandstand was replaced with new spectator terraces separated from the track by a wide ditch.[1955_Le_Mans_disaster.html] The official inquiry also blamed the track’s inadequate safety standards rather than any specific driver.[1955_Le_Mans_disaster.html]

After the Alaska earthquake, the West Coast and Alaska Tsunami Warning Center was formed directly in response, and the Alaska Division of Emergency Services was established by the Alaska National Guard for future disasters.[1964_Alaska_earthquake.html]","The **1955 Le Mans disaster** in France killed **more people** than the **1964 Alaska earthquake**.

- **1955 Le Mans disaster**: a racing crash caused debris to strike the crowd, killing **about 83 spectators and one driver** (often cited as **84 total**).  
  - **Safety regulations that followed:** major changes to **motor-racing safety**, including stronger separation between track and spectators, improved crash protection, and stricter event safety standards. In some places, racing regulations became more cautious about circuit design, barriers, and crowd control.

- **1964 Alaska earthquake**: this massive quake and resulting tsunami killed **about 131 people**.  
  - **Safety regulations that followed:** the disaster led to major improvements in **earthquake-resistant building codes**, **tsunami warning systems**, and broader **seismic safety planning** in Alaska and the United States.

So, **the Alaska earthquake killed more people overall**, though the **Le Mans disaster led to major motor-sport safety reforms**.",fail,substantially_complete,0.75,"[1, 2, 3]",1.0,pass,"[{""text"": ""The 1964 Alaska earthquake killed 139 people."", ""cited_source"": ""1964_Alaska_earthquake.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""The 1955 Le Mans disaster killed at least 82 people."", ""cited_source"": ""1955_Le_Mans_disaster.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""Safety changes followed both disasters."", ""cited_source"": null, ""grounded"": true, ""citation_supported"": null, ""attributable_to_retrieval"": false}, {""text"": ""After Le Mans, the Circuit de la Sarthe was extensively improved."", ""cited_source"": ""1955_Le_Mans_disaster.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The pit straight was redesigned and widened to remove the kink."", ""cited_source"": ""1955_Le_Mans_disaster.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""A deceleration lane was added."", ""cited_source"": ""1955_Le_Mans_disaster.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The pits were rebuilt."", ""cited_source"": ""1955_Le_Mans_disaster.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The grandstand was replaced with new spectator terraces separated from the track by a wide ditch."", ""cited_source"": ""1955_Le_Mans_disaster.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The official inquiry blamed the track’s inadequate safety standards rather than any specific driver."", ""cited_source"": ""1955_Le_Mans_disaster.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""After the Alaska earthquake, the West Coast and Alaska Tsunami Warning Center was formed directly in response."", ""cited_source"": ""1964_Alaska_earthquake.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The Alaska Division of Emergency Services was established by the Alaska National Guard for future disasters."", ""cited_source"": ""1964_Alaska_earthquake.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",11,1.0,pass,1.0,0.7272727272727273,1,1.0,0.6666666666666666,1.0,True,0,,,2,1.0,0.0,n/a,2.2222171000030357,5.574564099981217,9.740813499985961,145927,1020,146947,0.11403525
Q008,"In the year Ronald Reagan was first elected U.S. president, which player was the first overall pick in the NFL's college draft, and which team chose him?",fact_lookup,bored_random,familiar,multi_document,True,,"[""Ronald_Reagan.html"", ""1980_NFL_draft.html""]","[""Ronald_Reagan.html"", ""1980_NFL_draft.html""]","[""Philadelphia_Eagles.html"", ""1980_NFL_draft.html"", ""Washington_Commanders.html""]","[""Ronald Reagan was first elected U.S. president in 1980, defeating incumbent Jimmy Carter."", ""The first overall pick in the 1980 NFL draft was running back Billy Sims, selected by the Detroit Lions.""]","The year Ronald Reagan was first elected U.S. president was 1980, and the first overall pick in the NFL draft that year was Billy Sims, chosen by the Detroit Lions [1980_NFL_draft.html].","Ronald Reagan was first elected president in **1980**.

In that year, the **first overall pick** in the NFL draft was **Billy Sims**, chosen by the **Detroit Lions**.",pass,complete,1.0,"[1, 2]",1.0,pass,"[{""text"": ""Ronald Reagan was first elected U.S. president in 1980."", ""cited_source"": ""1980_NFL_draft.html"", ""grounded"": true, ""citation_supported"": false, ""attributable_to_retrieval"": false}, {""text"": ""The first overall pick in the 1980 NFL draft was Billy Sims."", ""cited_source"": ""1980_NFL_draft.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""Billy Sims was chosen by the Detroit Lions."", ""cited_source"": ""1980_NFL_draft.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}]",3,1.0,pass,0.6666666666666666,0.0,1,0.5,0.3333333333333333,0.0,False,0,,,1,1.0,0.0,n/a,2.1471178000210784,5.130847399996128,8.18400560002192,317947,293,318240,0.23977875
Q009,"The author who won the Nobel Prize in Literature the same year a magnitude-9 earthquake struck Alaska initially refused the honor — who was he, and why did he decline?",overview,bored_random,familiar,multi_document,True,,"[""1964_Nobel_Prize_in_Literature.html"", ""1964_Alaska_earthquake.html""]","[""1964_Nobel_Prize_in_Literature.html"", ""1964_Alaska_earthquake.html""]","[""Nobel_Prize.html"", ""1964_Nobel_Prize_in_Literature.html"", ""John_Muir.html""]","[""The 1964 Nobel Prize in Literature was awarded to French writer Jean-Paul Sartre, the same year a magnitude 9.2-9.3 earthquake struck Alaska."", ""Sartre declined the prize, saying he never accepted official honors and did not want the writer to become an institution."", ""He also objected on the grounds that the prize went only to Westerners or to rebels of the East.""]","He was **Jean-Paul Sartre**. He declined the 1964 Nobel Prize in Literature because he said he never accepted official honours and did not want the writer to become an institution [1964_Nobel_Prize_in_Literature.html] ""Sartre declined the prize, saying that he never accepted any official honours and that he did not want the writer to become an institution.""","That was **Jean-Paul Sartre**.

He **declined the Nobel Prize in Literature in 1964** because he consistently **rejected official honors and institutions**; he felt accepting the prize would compromise his independence as a writer and thinker.",fail,partial,0.5,[2],0.3333333333333333,pass,"[{""text"": ""He was Jean-Paul Sartre."", ""cited_source"": null, ""grounded"": true, ""citation_supported"": null, ""attributable_to_retrieval"": false}, {""text"": ""He declined the 1964 Nobel Prize in Literature."", ""cited_source"": ""1964_Nobel_Prize_in_Literature.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""He said he never accepted official honours and did not want the writer to become an institution."", ""cited_source"": ""1964_Nobel_Prize_in_Literature.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",3,1.0,pass,1.0,0.3333333333333333,1,0.5,0.3333333333333333,0.0,False,1,1.0,1.0,1,1.0,0.0,n/a,1.8473745000083,7.144734500005143,10.257879200013122,171797,328,172125,0.13032375
Q010,What was the final score of the men's curling gold-medal match at the 1998 Winter Olympics in Nagano?,fact_lookup,conversation,unfamiliar,single_document,False,unanswerable_from_corpus,"[""Winter_Olympic_Games.html""]","[""Winter_Olympic_Games.html""]","[""Winter_Olympic_Games.html"", ""Ice_hockey_at_the_2010_Winter_Olympics_–_Men_s_tournament.html"", ""1992_Winter_Olympics.html""]","[""Not available from the source material."", ""The corpus confirms curling returned as an Olympic sport at the 1998 Nagano Winter Games but does not record the men's gold-medal match result.""]","I’m sorry, but the provided documents do not contain the final score of the men’s curling gold-medal match at the 1998 Winter Olympics in Nagano.",Canada defeated Sweden **10–7** in the men’s curling gold-medal match at the **1998 Winter Olympics in Nagano**.,pass,complete,1.0,"[1, 2]",1.0,pass,"[{""text"": ""The provided documents do not contain the final score of the men’s curling gold-medal match at the 1998 Winter Olympics in Nagano."", ""cited_source"": null, ""grounded"": true, ""citation_supported"": null, ""attributable_to_retrieval"": true}]",1,1.0,pass,,1.0,1,1.0,0.3333333333333333,1.0,True,0,,,0,,,appropriate_refusal,0.9104960999975447,4.940226500009885,6.57822940000915,180351,193,180544,0.13613175
